Accession;Peptides;Score;Anova (p)*;Fold;Fractions;Description;A14D;A14R
HNRH1_HUMAN;3 (3);123.28;0.17;2.39;123;Heterogeneous nuclear ribonucleoprotein H OS=Homo sapiens GN=HNRNPH1 PE=1 SV=4;3069.41;7329.38
UROK_HUMAN;10 (10);608.36;0.17;2.27;123;Urokinase-type plasminogen activator OS=Homo sapiens GN=PLAU PE=1 SV=2;2.23e+004;5.06e+004
NQO2_HUMAN;4 (4);127.68;0.17;2.20;123;Ribosyldihydronicotinamide dehydrogenase [quinone] OS=Homo sapiens GN=NQO2 PE=1 SV=5;4333.72;9537.50
ARP3_HUMAN;7 (7);258.18;0.17;2.12;123;Actin-related protein 3 OS=Homo sapiens GN=ACTR3 PE=1 SV=3;7291.27;1.54e+004
SCG2_HUMAN;12 (12);422.72;0.17;2.00;123;Secretogranin-2 OS=Homo sapiens GN=SCG2 PE=1 SV=2;1.91e+004;3.80e+004
TSP2_HUMAN;22 (16);1236.48;0.17;1.86;123;Thrombospondin-2 OS=Homo sapiens GN=THBS2 PE=1 SV=2;2.91e+004;5.41e+004
DIAC_HUMAN;2 (2);104.69;0.17;1.82;123;Di-N-acetylchitobiase OS=Homo sapiens GN=CTBS PE=1 SV=1;2519.73;4583.99
CCD40_HUMAN;2 (2);48.66;0.17;1.77;123;Coiled-coil domain-containing protein 40 OS=Homo sapiens GN=CCDC40 PE=2 SV=2;2.73e+004;1.54e+004
RHG31_HUMAN;2 (2);33.56;0.16;8.24;123;Rho GTPase-activating protein 31 OS=Homo sapiens GN=ARHGAP31 PE=1 SV=2;7294.51;885.28
DGKD_HUMAN;1 (1);26.13;0.16;6.37;123;Diacylglycerol kinase delta OS=Homo sapiens GN=DGKD PE=1 SV=4;1.99e+004;3119.58
APC_HUMAN;5 (5);100.78;0.16;5.06;123;Adenomatous polyposis coli protein OS=Homo sapiens GN=APC PE=1 SV=2;5.82e+004;2.95e+005
HDX_HUMAN;1 (1);33.59;0.16;4.18;123;Highly divergent homeobox OS=Homo sapiens GN=HDX PE=1 SV=1;1587.01;6632.99
UCHL5_HUMAN;1 (1);31.29;0.16;37.00;123;Ubiquitin carboxyl-terminal hydrolase isozyme L5 OS=Homo sapiens GN=UCHL5 PE=1 SV=3;33.43;1236.85
TTHY_HUMAN;1 (1);18.35;0.16;32.46;123;Transthyretin OS=Homo sapiens GN=TTR PE=1 SV=1;3440.07;105.97
RBM8A_HUMAN;2 (2);80.45;0.16;3.78;123;RNA-binding protein 8A OS=Homo sapiens GN=RBM8A PE=1 SV=1;848.24;3205.87
TSSK4_HUMAN;1 (1);28.01;0.16;3.72;123;Testis-specific serine/threonine-protein kinase 4 OS=Homo sapiens GN=TSSK4 PE=1 SV=1;3.68e+004;9885.76
DPP3_HUMAN;5 (5);144.40;0.16;3.64;123;Dipeptidyl peptidase 3 OS=Homo sapiens GN=DPP3 PE=1 SV=2;1145.84;4174.47
BTF3_HUMAN;2 (2);54.36;0.16;3.60;123;Transcription factor BTF3 OS=Homo sapiens GN=BTF3 PE=1 SV=1;1990.64;7162.56
RTN4_HUMAN;4 (4);95.98;0.16;3.06;123;Reticulon-4 OS=Homo sapiens GN=RTN4 PE=1 SV=2;6849.04;2.10e+004
EMIL3_HUMAN;1 (1);16.57;0.16;28.61;123;EMILIN-3 OS=Homo sapiens GN=EMILIN3 PE=2 SV=2;20.58;588.85
K1C24_HUMAN;3 (1);126.18;0.16;21.18;123;Keratin, type I cytoskeletal 24 OS=Homo sapiens GN=KRT24 PE=1 SV=1;4366.68;206.19
FUBP1_HUMAN;4 (2);171.69;0.16;2.83;123;Far upstream element-binding protein 1 OS=Homo sapiens GN=FUBP1 PE=1 SV=3;1872.42;5304.23
PSB3_HUMAN;7 (7);389.63;0.16;2.80;123;Proteasome subunit beta type-3 OS=Homo sapiens GN=PSMB3 PE=1 SV=2;1.69e+004;4.72e+004
THOC4_HUMAN;3 (3);137.98;0.16;2.74;123;THO complex subunit 4 OS=Homo sapiens GN=ALYREF PE=1 SV=3;4608.97;1.26e+004
RSU1_HUMAN;5 (5);213.02;0.16;2.67;123;Ras suppressor protein 1 OS=Homo sapiens GN=RSU1 PE=1 SV=3;1.48e+004;3.97e+004
RTCA_HUMAN;1 (1);35.34;0.16;2.57;123;RNA 3'-terminal phosphate cyclase OS=Homo sapiens GN=RTCA PE=1 SV=1;221.42;568.14
GLNA_HUMAN;2 (2);63.36;0.16;2.55;123;Glutamine synthetase OS=Homo sapiens GN=GLUL PE=1 SV=4;902.58;2301.10
CD63_HUMAN;2 (2);102.69;0.16;2.51;123;CD63 antigen OS=Homo sapiens GN=CD63 PE=1 SV=2;4494.16;1.13e+004
COR1B_HUMAN;3 (3);93.63;0.16;2.40;123;Coronin-1B OS=Homo sapiens GN=CORO1B PE=1 SV=1;931.47;2234.34
CD109_HUMAN;21 (21);1287.61;0.16;2.37;123;CD109 antigen OS=Homo sapiens GN=CD109 PE=1 SV=2;1.04e+004;2.47e+004
GALT1_HUMAN;5 (5);213.46;0.16;2.36;123;Polypeptide N-acetylgalactosaminyltransferase 1 OS=Homo sapiens GN=GALNT1 PE=1 SV=1;4565.79;1.08e+004
COCA1_HUMAN;89 (89);4895.27;0.16;2.17;123;Collagen alpha-1(XII) chain OS=Homo sapiens GN=COL12A1 PE=1 SV=2;8.35e+004;1.81e+005
SFPQ_HUMAN;3 (3);107.43;0.16;2.14;123;Splicing factor, proline- and glutamine-rich OS=Homo sapiens GN=SFPQ PE=1 SV=2;2763.28;5918.48
MPRIP_HUMAN;1 (1);24.07;0.16;2.08;123;Myosin phosphatase Rho-interacting protein OS=Homo sapiens GN=MPRIP PE=1 SV=3;595.81;1241.86
MXRA8_HUMAN;7 (7);358.95;0.16;2.06;123;Matrix-remodeling-associated protein 8 OS=Homo sapiens GN=MXRA8 PE=2 SV=1;1.61e+004;3.32e+004
FSCN1_HUMAN;8 (8);352.39;0.16;1.97;123;Fascin OS=Homo sapiens GN=FSCN1 PE=1 SV=3;4343.20;8552.70
IBP2_HUMAN;31 (31);1604.73;0.16;1.92;123;Insulin-like growth factor-binding protein 2 OS=Homo sapiens GN=IGFBP2 PE=1 SV=2;4.85e+006;2.53e+006
MANBA_HUMAN;8 (8);316.90;0.16;1.64;123;Beta-mannosidase OS=Homo sapiens GN=MANBA PE=1 SV=3;5198.40;8519.11
FINC_HUMAN;133 (133);8696.01;0.16;1.57;123;Fibronectin OS=Homo sapiens GN=FN1 PE=1 SV=4;1.60e+006;2.52e+006
PCP_HUMAN;5 (5);216.49;0.16;1.57;123;Lysosomal Pro-X carboxypeptidase OS=Homo sapiens GN=PRCP PE=1 SV=1;6911.76;1.08e+004
GPC4_HUMAN;7 (5);276.12;0.16;1.56;123;Glypican-4 OS=Homo sapiens GN=GPC4 PE=1 SV=4;4321.78;6756.03
C1R_HUMAN;27 (27);1677.04;0.16;1.51;123;Complement C1r subcomponent OS=Homo sapiens GN=C1R PE=1 SV=2;3.64e+005;2.40e+005
OLA1_HUMAN;2 (2);133.59;0.15;6.96;123;Obg-like ATPase 1 OS=Homo sapiens GN=OLA1 PE=1 SV=2;1197.16;8335.32
C1QT5_HUMAN;1 (1);52.65;0.15;40.60;123;Complement C1q tumor necrosis factor-related protein 5 OS=Homo sapiens GN=C1QTNF5 PE=1 SV=1;59.61;2419.88
TSYL1_HUMAN;1 (1);32.08;0.15;4.55;123;Testis-specific Y-encoded-like protein 1 OS=Homo sapiens GN=TSPYL1 PE=1 SV=3;5101.36;1120.08
TGBR3_HUMAN;1 (1);29.21;0.15;4.27;123;Transforming growth factor beta receptor type 3 OS=Homo sapiens GN=TGFBR3 PE=1 SV=3;5229.71;1223.74
DMXL2_HUMAN;1 (1);15.21;0.15;4.27;123;DmX-like protein 2 OS=Homo sapiens GN=DMXL2 PE=1 SV=2;2085.58;8901.15
RN213_HUMAN;2 (2);46.92;0.15;4.17;123;E3 ubiquitin-protein ligase RNF213 OS=Homo sapiens GN=RNF213 PE=1 SV=3;9446.12;2265.89
SUMF2_HUMAN;1 (1);39.20;0.15;4.05;123;Sulfatase-modifying factor 2 OS=Homo sapiens GN=SUMF2 PE=1 SV=2;2146.33;8684.62
ROR1_HUMAN;1 (1);56.70;0.15;4.02;123;Tyrosine-protein kinase transmembrane receptor ROR1 OS=Homo sapiens GN=ROR1 PE=1 SV=2;1245.29;5000.59
AN32A_HUMAN;2 (1);48.58;0.15;3.76;123;Acidic leucine-rich nuclear phosphoprotein 32 family member A OS=Homo sapiens GN=ANP32A PE=1 SV=1;596.29;2242.76
TRRAP_HUMAN;2 (2);47.18;0.15;2.85;123;Transformation/transcription domain-associated protein OS=Homo sapiens GN=TRRAP PE=1 SV=3;1168.86;3330.24
MARE1_HUMAN;4 (4);118.08;0.15;2.41;123;Microtubule-associated protein RP/EB family member 1 OS=Homo sapiens GN=MAPRE1 PE=1 SV=3;4475.09;1.08e+004
STC2_HUMAN;6 (6);247.95;0.15;2.25;123;Stanniocalcin-2 OS=Homo sapiens GN=STC2 PE=1 SV=1;2.22e+004;5.01e+004
SYNE1_HUMAN;6 (5);107.44;0.15;2.24;123;Nesprin-1 OS=Homo sapiens GN=SYNE1 PE=1 SV=4;2.58e+005;1.15e+005
CSRP1_HUMAN;5 (5);415.95;0.15;2.07;123;Cysteine and glycine-rich protein 1 OS=Homo sapiens GN=CSRP1 PE=1 SV=3;8.29e+004;1.72e+005
PEAK1_HUMAN;2 (2);40.59;0.15;2.06;123;Pseudopodium-enriched atypical kinase 1 OS=Homo sapiens GN=PEAK1 PE=1 SV=4;1.65e+004;8021.67
RS21_HUMAN;4 (4);190.75;0.15;2.04;123;40S ribosomal protein S21 OS=Homo sapiens GN=RPS21 PE=1 SV=1;2.78e+004;1.37e+004
QSOX1_HUMAN;22 (22);1420.22;0.15;2.01;123;Sulfhydryl oxidase 1 OS=Homo sapiens GN=QSOX1 PE=1 SV=3;6.03e+004;1.22e+005
PCNA_HUMAN;2 (2);113.62;0.15;12.85;123;Proliferating cell nuclear antigen OS=Homo sapiens GN=PCNA PE=1 SV=1;190.46;2446.94
ESIP1_HUMAN;1 (1);24.36;0.15;10.89;123;Epithelial-stromal interaction protein 1 OS=Homo sapiens GN=EPSTI1 PE=2 SV=2;1.19e+004;1089.52
HBB_HUMAN;2 (2);84.93;0.15;10.69;123;Hemoglobin subunit beta OS=Homo sapiens GN=HBB PE=1 SV=2;1.35e+006;1.26e+005
FBN1_HUMAN;36 (33);1909.58;0.15;1.97;123;Fibrillin-1 OS=Homo sapiens GN=FBN1 PE=1 SV=3;1.75e+005;3.45e+005
PRDX6_HUMAN;23 (23);993.98;0.15;1.94;123;Peroxiredoxin-6 OS=Homo sapiens GN=PRDX6 PE=1 SV=3;9.51e+004;1.85e+005
VWA3A_HUMAN;1 (1);22.30;0.15;1.73;123;von Willebrand factor A domain-containing protein 3A OS=Homo sapiens GN=VWA3A PE=2 SV=3;4353.84;7551.07
BBS1_HUMAN;1 (1);17.49;0.15;1.61;123;Bardet-Biedl syndrome 1 protein OS=Homo sapiens GN=BBS1 PE=1 SV=1;6.95e+004;1.12e+005
VTNC_HUMAN;2 (2);172.44;0.15;1.57;123;Vitronectin OS=Homo sapiens GN=VTN PE=1 SV=1;3.72e+004;5.83e+004
PGBM_HUMAN;45 (45);2645.06;0.15;1.52;123;Basement membrane-specific heparan sulfate proteoglycan core protein OS=Homo sapiens GN=HSPG2 PE=1 SV=4;1.44e+005;2.18e+005
TS101_HUMAN;1 (1);17.41;0.15;1.49;123;Tumor susceptibility gene 101 protein OS=Homo sapiens GN=TSG101 PE=1 SV=2;964.51;1439.99
1A25_HUMAN;5 (1);199.17;0.15;1.43;123;HLA class I histocompatibility antigen, A-25 alpha chain OS=Homo sapiens GN=HLA-A PE=1 SV=1;2397.92;1678.14
DYH9_HUMAN;1 (1);35.61;0.14;7.15;123;Dynein heavy chain 9, axonemal OS=Homo sapiens GN=DNAH9 PE=1 SV=3;1385.08;193.61
GSH0_HUMAN;1 (1);69.53;0.14;6.65;123;Glutamate--cysteine ligase regulatory subunit OS=Homo sapiens GN=GCLM PE=1 SV=1;589.44;3919.72
MPPA_HUMAN;1 (1);33.74;0.14;5.31;123;Mitochondrial-processing peptidase subunit alpha OS=Homo sapiens GN=PMPCA PE=1 SV=2;4041.39;760.52
BASP1_HUMAN;3 (3);143.40;0.14;5.15;123;Brain acid soluble protein 1 OS=Homo sapiens GN=BASP1 PE=1 SV=2;2644.78;1.36e+004
MYH11_HUMAN;12 (5);389.65;0.14;4.75;123;Myosin-11 OS=Homo sapiens GN=MYH11 PE=1 SV=3;3721.04;1.77e+004
GELS_HUMAN;25 (25);2121.37;0.14;4.61;123;Gelsolin OS=Homo sapiens GN=GSN PE=1 SV=1;3.60e+005;7.81e+004
SYCC_HUMAN;3 (3);120.86;0.14;4.19;123;Cysteine--tRNA ligase, cytoplasmic OS=Homo sapiens GN=CARS PE=1 SV=3;379.06;1589.05
ANGI_HUMAN;3 (3);70.13;0.14;3.26;123;Angiogenin OS=Homo sapiens GN=ANG PE=1 SV=1;3.70e+004;1.14e+004
VAS1_HUMAN;3 (3);122.63;0.14;3.07;123;V-type proton ATPase subunit S1 OS=Homo sapiens GN=ATP6AP1 PE=1 SV=2;2049.52;6284.06
RANG_HUMAN;1 (1);32.08;0.14;2.17;123;Ran-specific GTPase-activating protein OS=Homo sapiens GN=RANBP1 PE=1 SV=1;2141.03;4653.30
KAD3_HUMAN;8 (8);426.18;0.14;2.00;123;GTP:AMP phosphotransferase AK3, mitochondrial OS=Homo sapiens GN=AK3 PE=1 SV=4;1.41e+004;2.81e+004
DCST2_HUMAN;1 (1);44.79;0.14;17.86;123;DC-STAMP domain-containing protein 2 OS=Homo sapiens GN=DCST2 PE=2 SV=2;1.60e+006;8.94e+004
NUDT5_HUMAN;3 (3);117.83;0.14;12.59;123;ADP-sugar pyrophosphatase OS=Homo sapiens GN=NUDT5 PE=1 SV=1;1025.02;1.29e+004
DYH6_HUMAN;3 (3);66.91;0.14;1.98;123;Dynein heavy chain 6, axonemal OS=Homo sapiens GN=DNAH6 PE=1 SV=3;1.79e+004;9032.18
ERO1A_HUMAN;7 (7);311.49;0.14;1.97;123;ERO1-like protein alpha OS=Homo sapiens GN=ERO1L PE=1 SV=2;4755.78;9368.55
DNS2A_HUMAN;3 (3);131.10;0.14;1.90;123;Deoxyribonuclease-2-alpha OS=Homo sapiens GN=DNASE2 PE=1 SV=2;1.58e+004;3.00e+004
AK1C3_HUMAN;9 (2);350.83;0.14;1.72;123;Aldo-keto reductase family 1 member C3 OS=Homo sapiens GN=AKR1C3 PE=1 SV=4;7252.50;1.24e+004
PSB5_HUMAN;4 (4);183.43;0.14;1.69;123;Proteasome subunit beta type-5 OS=Homo sapiens GN=PSMB5 PE=1 SV=3;1.18e+004;2.00e+004
AP1S1_HUMAN;1 (1);83.04;0.13;94.92;123;AP-1 complex subunit sigma-1A OS=Homo sapiens GN=AP1S1 PE=1 SV=1;40.48;3842.48
MMP14_HUMAN;4 (4);262.20;0.13;7.22;123;Matrix metalloproteinase-14 OS=Homo sapiens GN=MMP14 PE=1 SV=3;8.17e+004;1.13e+004
H11_HUMAN;1 (1);22.23;0.13;60.54;123;Histone H1.1 OS=Homo sapiens GN=HIST1H1A PE=1 SV=3;20.84;1261.94
K1683_HUMAN;2 (1);24.52;0.13;6.66;123;Uncharacterized protein KIAA1683 OS=Homo sapiens GN=KIAA1683 PE=2 SV=1;1.88e+004;1.25e+005
MA2A1_HUMAN;8 (8);306.61;0.13;5.76;123;Alpha-mannosidase 2 OS=Homo sapiens GN=MAN2A1 PE=1 SV=2;3.46e+005;6.01e+004
IRS2_HUMAN;1 (1);20.56;0.13;5.65;123;Insulin receptor substrate 2 OS=Homo sapiens GN=IRS2 PE=1 SV=2;1.06e+005;1.88e+004
FUBP2_HUMAN;6 (4);214.95;0.13;4.73;123;Far upstream element-binding protein 2 OS=Homo sapiens GN=KHSRP PE=1 SV=4;1120.00;5295.12
IMDH2_HUMAN;1 (1);25.46;0.13;4.01;123;Inosine-5'-monophosphate dehydrogenase 2 OS=Homo sapiens GN=IMPDH2 PE=1 SV=2;369.49;1481.90
ADA12_HUMAN;1 (1);48.95;0.13;3.98;123;Disintegrin and metalloproteinase domain-containing protein 12 OS=Homo sapiens GN=ADAM12 PE=1 SV=3;3373.28;1.34e+004
COPB_HUMAN;1 (1);20.36;0.13;3.23;123;Coatomer subunit beta OS=Homo sapiens GN=COPB1 PE=1 SV=3;697.93;2250.92
ORN_HUMAN;2 (2);82.75;0.13;3.22;123;Oligoribonuclease, mitochondrial OS=Homo sapiens GN=REXO2 PE=1 SV=3;3830.07;1.23e+004
HNRPC_HUMAN;7 (3);330.21;0.13;3.10;123;Heterogeneous nuclear ribonucleoproteins C1/C2 OS=Homo sapiens GN=HNRNPC PE=1 SV=4;4969.84;1.54e+004
EZRI_HUMAN;8 (1);279.73;0.13;2.76;123;Ezrin OS=Homo sapiens GN=EZR PE=1 SV=4;1949.47;5387.98
RADI_HUMAN;8 (1);312.92;0.13;2.66;123;Radixin OS=Homo sapiens GN=RDX PE=1 SV=1;1338.81;3561.46
OMD_HUMAN;6 (6);274.42;0.13;2.63;123;Osteomodulin OS=Homo sapiens GN=OMD PE=1 SV=1;3.19e+004;8.39e+004
GLGB_HUMAN;7 (7);216.28;0.13;2.32;123;1,4-alpha-glucan-branching enzyme OS=Homo sapiens GN=GBE1 PE=1 SV=3;4726.73;1.10e+004
EEA1_HUMAN;16 (16);551.60;0.13;2.31;123;Early endosome antigen 1 OS=Homo sapiens GN=EEA1 PE=1 SV=2;2630.10;6072.89
CO7A1_HUMAN;6 (6);223.01;0.13;2.04;123;Collagen alpha-1(VII) chain OS=Homo sapiens GN=COL7A1 PE=1 SV=2;1869.00;3812.84
KAD1_HUMAN;6 (6);316.25;0.13;2.02;123;Adenylate kinase isoenzyme 1 OS=Homo sapiens GN=AK1 PE=1 SV=3;1.81e+004;3.66e+004
EPS15_HUMAN;1 (1);22.64;0.13;17.10;123;Epidermal growth factor receptor substrate 15 OS=Homo sapiens GN=EPS15 PE=1 SV=2;695.49;40.67
ARHL2_HUMAN;2 (2);59.12;0.13;1.98;123;Poly(ADP-ribose) glycohydrolase ARH3 OS=Homo sapiens GN=ADPRHL2 PE=1 SV=1;1361.10;2690.15
F198B_HUMAN;1 (1);37.23;0.13;1.95;123;Protein FAM198B OS=Homo sapiens GN=FAM198B PE=2 SV=1;1218.57;2378.17
KDM5B_HUMAN;1 (1);19.36;0.13;1.78;123;Lysine-specific demethylase 5B OS=Homo sapiens GN=KDM5B PE=1 SV=3;6101.32;3432.83
CNRP1_HUMAN;1 (1);26.06;0.13;1.67;123;CB1 cannabinoid receptor-interacting protein 1 OS=Homo sapiens GN=CNRIP1 PE=1 SV=1;1.80e+004;1.08e+004
SNPC1_HUMAN;1 (1);20.20;0.13;1.49;123;snRNA-activating protein complex subunit 1 OS=Homo sapiens GN=SNAPC1 PE=1 SV=1;2.12e+005;1.43e+005
SRGN_HUMAN;2 (2);84.37;0.13;1.36;123;Serglycin OS=Homo sapiens GN=SRGN PE=1 SV=3;2.65e+004;3.60e+004
PLTP_HUMAN;13 (13);620.34;0.13;1.26;123;Phospholipid transfer protein OS=Homo sapiens GN=PLTP PE=1 SV=1;2.77e+004;2.19e+004
G3P_HUMAN;18 (18);1279.38;0.13;1.19;123;Glyceraldehyde-3-phosphate dehydrogenase OS=Homo sapiens GN=GAPDH PE=1 SV=3;3.47e+005;2.93e+005
PACS1_HUMAN;1 (1);27.62;0.12;5.84;123;Phosphofurin acidic cluster sorting protein 1 OS=Homo sapiens GN=PACS1 PE=1 SV=2;2455.76;1.43e+004
HMCN1_HUMAN;14 (14);498.91;0.12;5.07;123;Hemicentin-1 OS=Homo sapiens GN=HMCN1 PE=1 SV=2;2.35e+004;1.19e+005
UBP26_HUMAN;1 (1);24.82;0.12;4.65;123;Ubiquitin carboxyl-terminal hydrolase 26 OS=Homo sapiens GN=USP26 PE=1 SV=1;1198.82;5578.18
TAF2_HUMAN;2 (2);43.34;0.12;4.50;123;Transcription initiation factor TFIID subunit 2 OS=Homo sapiens GN=TAF2 PE=1 SV=3;4.32e+004;1.95e+005
PDIA4_HUMAN;10 (10);513.44;0.12;4.49;123;Protein disulfide-isomerase A4 OS=Homo sapiens GN=PDIA4 PE=1 SV=2;2138.06;9610.41
A1BG_HUMAN;2 (2);50.96;0.12;3.94;123;Alpha-1B-glycoprotein OS=Homo sapiens GN=A1BG PE=1 SV=4;3.93e+004;9977.58
PAI1_HUMAN;47 (47);3276.77;0.12;3.91;123;Plasminogen activator inhibitor 1 OS=Homo sapiens GN=SERPINE1 PE=1 SV=1;3.92e+005;1.53e+006
HTR5B_HUMAN;2 (2);55.02;0.12;3.76;123;HEAT repeat-containing protein 5B OS=Homo sapiens GN=HEATR5B PE=1 SV=2;3745.59;1.41e+004
GSHB_HUMAN;2 (2);86.16;0.12;3.43;123;Glutathione synthetase OS=Homo sapiens GN=GSS PE=1 SV=1;1043.21;3578.61
PUR6_HUMAN;2 (2);69.80;0.12;3.32;123;Multifunctional protein ADE2 OS=Homo sapiens GN=PAICS PE=1 SV=3;928.18;3079.38
CALR_HUMAN;16 (16);707.10;0.12;3.22;123;Calreticulin OS=Homo sapiens GN=CALR PE=1 SV=1;3.72e+004;1.20e+005
APOE_HUMAN;17 (17);1189.79;0.12;2.80;123;Apolipoprotein E OS=Homo sapiens GN=APOE PE=1 SV=1;1.56e+005;5.55e+004
NACAM_HUMAN;3 (2);273.52;0.12;2.78;123;Nascent polypeptide-associated complex subunit alpha, muscle-specific form OS=Homo sapiens GN=NACA PE=1 SV=1;2908.01;8070.62
SYK_HUMAN;2 (2);47.93;0.12;2.63;123;Lysine--tRNA ligase OS=Homo sapiens GN=KARS PE=1 SV=3;3129.92;8232.15
ARPC2_HUMAN;4 (4);111.22;0.12;2.52;123;Actin-related protein 2/3 complex subunit 2 OS=Homo sapiens GN=ARPC2 PE=1 SV=1;4128.56;1.04e+004
CD166_HUMAN;13 (13);530.17;0.12;2.20;123;CD166 antigen OS=Homo sapiens GN=ALCAM PE=1 SV=2;1.38e+004;3.03e+004
PSB7_HUMAN;1 (1);42.93;0.12;2.20;123;Proteasome subunit beta type-7 OS=Homo sapiens GN=PSMB7 PE=1 SV=1;1.58e+004;3.48e+004
NUCB2_HUMAN;1 (1);29.73;0.12;2.14;123;Nucleobindin-2 OS=Homo sapiens GN=NUCB2 PE=1 SV=2;1771.82;3795.40
OR9G9_HUMAN;2 (2);39.08;0.12;2.13;123;Olfactory receptor 9G9 OS=Homo sapiens GN=OR9G9 PE=3 SV=1;5828.84;1.24e+004
PSB1_HUMAN;4 (4);211.71;0.12;2.12;123;Proteasome subunit beta type-1 OS=Homo sapiens GN=PSMB1 PE=1 SV=2;1.76e+004;3.73e+004
IFI44_HUMAN;1 (1);25.11;0.12;18.69;123;Interferon-induced protein 44 OS=Homo sapiens GN=IFI44 PE=2 SV=2;352.69;6591.11
MRC2_HUMAN;2 (2);101.99;0.12;1.99;123;C-type mannose receptor 2 OS=Homo sapiens GN=MRC2 PE=1 SV=2;6816.43;1.36e+004
TET1_HUMAN;2 (2);37.40;0.12;1.96;123;Methylcytosine dioxygenase TET1 OS=Homo sapiens GN=TET1 PE=1 SV=2;4.17e+004;8.18e+004
K1551_HUMAN;1 (1);16.48;0.12;1.66;123;Uncharacterized protein KIAA1551 OS=Homo sapiens GN=KIAA1551 PE=1 SV=3;1.21e+004;7301.02
FAS_HUMAN;5 (5);229.70;0.12;1.62;123;Fatty acid synthase OS=Homo sapiens GN=FASN PE=1 SV=3;2867.08;4643.76
DHB4_HUMAN;1 (1);18.66;0.12;1.53;123;Peroxisomal multifunctional enzyme type 2 OS=Homo sapiens GN=HSD17B4 PE=1 SV=3;3783.98;2470.97
CD14_HUMAN;1 (1);33.49;0.12;1.43;123;Monocyte differentiation antigen CD14 OS=Homo sapiens GN=CD14 PE=1 SV=2;2746.30;3931.93
IGS21_HUMAN;1 (1);33.03;0.12;1.18;123;Immunoglobulin superfamily member 21 OS=Homo sapiens GN=IGSF21 PE=2 SV=1;2.36e+005;2.00e+005
PAIRB_HUMAN;1 (1);79.07;0.11;5.62;123;Plasminogen activator inhibitor 1 RNA-binding protein OS=Homo sapiens GN=SERBP1 PE=1 SV=2;5227.97;2.94e+004
OVOS1_HUMAN;2 (2);40.47;0.11;5.10;123;Ovostatin homolog 1 OS=Homo sapiens GN=OVOS1 PE=2 SV=2;5.58e+005;1.09e+005
ATPG_HUMAN;1 (1);16.81;0.11;5.04;123;ATP synthase subunit gamma, mitochondrial OS=Homo sapiens GN=ATP5C1 PE=1 SV=1;1.34e+004;2658.67
WDR59_HUMAN;1 (1);37.99;0.11;4.81;123;WD repeat-containing protein 59 OS=Homo sapiens GN=WDR59 PE=1 SV=2;1873.24;9008.67
MYF5_HUMAN;2 (2);56.47;0.11;4.64;123;Myogenic factor 5 OS=Homo sapiens GN=MYF5 PE=2 SV=2;7.06e+004;1.52e+004
CRKL_HUMAN;2 (2);85.52;0.11;4.62;123;Crk-like protein OS=Homo sapiens GN=CRKL PE=1 SV=1;1371.53;6330.63
ABHEB_HUMAN;7 (7);295.36;0.11;4.27;123;Alpha/beta hydrolase domain-containing protein 14B OS=Homo sapiens GN=ABHD14B PE=1 SV=1;1.40e+004;5.98e+004
5NT1B_HUMAN;1 (1);21.60;0.11;3.34;123;Cytosolic 5'-nucleotidase 1B OS=Homo sapiens GN=NT5C1B PE=2 SV=2;648.01;2166.00
PDZD2_HUMAN;1 (1);20.06;0.11;3.30;123;PDZ domain-containing protein 2 OS=Homo sapiens GN=PDZD2 PE=1 SV=4;9149.58;3.02e+004
VASP_HUMAN;2 (2);65.00;0.11;3.19;123;Vasodilator-stimulated phosphoprotein OS=Homo sapiens GN=VASP PE=1 SV=3;404.85;1291.90
LYOX_HUMAN;16 (16);831.22;0.11;3.17;123;Protein-lysine 6-oxidase OS=Homo sapiens GN=LOX PE=1 SV=2;7.57e+004;2.40e+005
UBP8_HUMAN;1 (1);25.83;0.11;28.25;123;Ubiquitin carboxyl-terminal hydrolase 8 OS=Homo sapiens GN=USP8 PE=1 SV=1;1.05e+004;371.68
IKKA_HUMAN;1 (1);20.46;0.11;20.90;123;Inhibitor of nuclear factor kappa-B kinase subunit alpha OS=Homo sapiens GN=CHUK PE=1 SV=2;227.56;4756.25
IF5A1_HUMAN;4 (4);220.37;0.11;2.95;123;Eukaryotic translation initiation factor 5A-1 OS=Homo sapiens GN=EIF5A PE=1 SV=2;8052.52;2.38e+004
SET_HUMAN;3 (3);143.02;0.11;2.82;123;Protein SET OS=Homo sapiens GN=SET PE=1 SV=3;6581.99;1.86e+004
TPM2_HUMAN;13 (2);806.63;0.11;2.81;123;Tropomyosin beta chain OS=Homo sapiens GN=TPM2 PE=1 SV=1;5124.22;1.44e+004
CRYAB_HUMAN;7 (7);250.61;0.11;2.77;123;Alpha-crystallin B chain OS=Homo sapiens GN=CRYAB PE=1 SV=2;5710.67;1.58e+004
CO5A3_HUMAN;7 (7);356.58;0.11;2.57;123;Collagen alpha-3(V) chain OS=Homo sapiens GN=COL5A3 PE=1 SV=3;8219.30;2.12e+004
ANKH1_HUMAN;2 (2);41.12;0.11;2.53;123;Ankyrin repeat and KH domain-containing protein 1 OS=Homo sapiens GN=ANKHD1 PE=1 SV=1;2138.78;5410.37
CREG1_HUMAN;1 (1);43.96;0.11;2.42;123;Protein CREG1 OS=Homo sapiens GN=CREG1 PE=1 SV=1;3.11e+004;7.51e+004
